DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,N,READ,READ_RATE
10,1,234,10761485,e20051397201021118904d81,1,5,1.00
20,1,214,16529165,e20051397201021118904d81,1,5,1.00
30,1,178,11287565,e20051397201021118904d81,1,5,1.00
40,1,146,5519885,e20051397201021118904d81,1,5,1.00
50,1,128,10761485,e20051397201021118904d81,1,5,1.00
60,1,102,16529165,e20051397201021118904d81,1,5,1.00
70,1,96,11287565,e20051397201021118904d81,1,5,1.00
80,1,112,5519885,e20051397201021118904d81,1,5,1.00
90,0,0,0,e20051397201021118904d81,1,0,0.00
100,0,0,0,e20051397201021118904d81,1,0,0.00
110,0,0,0,e20051397201021118904d81,1,0,0.00
120,0,0,0,e20051397201021118904d81,1,0,0.00
130,0,0,0,e20051397201021118904d81,1,0,0.00
140,0,0,0,e20051397201021118904d81,1,0,0.00
150,0,0,0,e20051397201021118904d81,1,0,0.00
160,0,0,0,e20051397201021118904d81,1,0,0.00
170,0,0,0,e20051397201021118904d81,1,0,0.00
180,0,0,0,e20051397201021118904d81,1,0,0.00
190,0,0,0,e20051397201021118904d81,1,0,0.00
200,0,0,0,e20051397201021118904d81,1,0,0.00
210,0,0,0,e20051397201021118904d81,1,0,0.00
220,0,0,0,e20051397201021118904d81,1,0,0.00
230,0,0,0,e20051397201021118904d81,1,0,0.00
240,0,0,0,e20051397201021118904d81,1,0,0.00
250,0,0,0,e20051397201021118904d81,1,0,0.00
260,0,0,0,e20051397201021118904d81,1,0,0.00
270,0,0,0,e20051397201021118904d81,1,0,0.00
280,0,0,0,e20051397201021118904d81,1,0,0.00
290,0,0,0,e20051397201021118904d81,1,0,0.00
300,0,0,0,e20051397201021118904d81,1,0,0.00
10,1,208,11287565,e20051397201021118904d81,2,5,1.00
20,1,199,5519885,e20051397201021118904d81,2,5,1.00
30,1,182,10761485,e20051397201021118904d81,2,5,1.00
40,1,131,16529165,e20051397201021118904d81,2,5,1.00
50,0,0,0,e20051397201021118904d81,2,0,0.00
60,1,5,5519885,e20051397201021118904d81,2,5,1.00
70,0,0,0,e20051397201021118904d81,2,0,0.00
80,1,96,16529165,e20051397201021118904d81,2,4,0.80
90,0,0,0,e20051397201021118904d81,2,0,0.00
100,0,0,0,e20051397201021118904d81,2,0,0.00
110,0,0,0,e20051397201021118904d81,2,0,0.00
120,0,0,0,e20051397201021118904d81,2,0,0.00
130,0,0,0,e20051397201021118904d81,2,0,0.00
140,0,0,0,e20051397201021118904d81,2,0,0.00
150,0,0,0,e20051397201021118904d81,2,0,0.00
160,0,0,0,e20051397201021118904d81,2,0,0.00
170,0,0,0,e20051397201021118904d81,2,0,0.00
180,0,0,0,e20051397201021118904d81,2,0,0.00
190,0,0,0,e20051397201021118904d81,2,0,0.00
200,0,0,0,e20051397201021118904d81,2,0,0.00
210,0,0,0,e20051397201021118904d81,2,0,0.00
220,0,0,0,e20051397201021118904d81,2,0,0.00
230,0,0,0,e20051397201021118904d81,2,0,0.00
240,0,0,0,e20051397201021118904d81,2,0,0.00
250,0,0,0,e20051397201021118904d81,2,0,0.00
260,0,0,0,e20051397201021118904d81,2,0,0.00
270,0,0,0,e20051397201021118904d81,2,0,0.00
280,0,0,0,e20051397201021118904d81,2,0,0.00
290,0,0,0,e20051397201021118904d81,2,0,0.00
300,0,0,0,e20051397201021118904d81,2,0,0.00
10,1,220,10761485,e20051397201021118904d81,3,5,1.00
20,1,188,16529165,e20051397201021118904d81,3,5,1.00
30,1,168,11287565,e20051397201021118904d81,3,5,1.00
40,1,150,5519885,e20051397201021118904d81,3,5,1.00
50,1,117,10761485,e20051397201021118904d81,3,5,1.00
60,0,0,0,e20051397201021118904d81,3,0,0.00
70,0,0,0,e20051397201021118904d81,3,0,0.00
80,1,134,5519885,e20051397201021118904d81,3,5,1.00
90,1,104,10761485,e20051397201021118904d81,3,3,0.60
100,0,0,0,e20051397201021118904d81,3,0,0.00
110,1,96,11287565,e20051397201021118904d81,3,3,0.60
120,1,99,5519885,e20051397201021118904d81,3,3,0.60
130,0,0,0,e20051397201021118904d81,3,0,0.00
140,0,0,0,e20051397201021118904d81,3,0,0.00
150,0,0,0,e20051397201021118904d81,3,0,0.00
160,0,0,0,e20051397201021118904d81,3,0,0.00
170,0,0,0,e20051397201021118904d81,3,0,0.00
180,0,0,0,e20051397201021118904d81,3,0,0.00
190,0,0,0,e20051397201021118904d81,3,0,0.00
200,0,0,0,e20051397201021118904d81,3,0,0.00
210,0,0,0,e20051397201021118904d81,3,0,0.00
220,0,0,0,e20051397201021118904d81,3,0,0.00
230,0,0,0,e20051397201021118904d81,3,0,0.00
240,0,0,0,e20051397201021118904d81,3,0,0.00
250,0,0,0,e20051397201021118904d81,3,0,0.00
260,0,0,0,e20051397201021118904d81,3,0,0.00
270,0,0,0,e20051397201021118904d81,3,0,0.00
280,0,0,0,e20051397201021118904d81,3,0,0.00
290,0,0,0,e20051397201021118904d81,3,0,0.00
300,0,0,0,e20051397201021118904d81,3,0,0.00
