DISTANCE,DETECT,RSSI,FREQUENCY,ID
10,1,234,10761485,e20051397201021118904d81
20,1,214,16529165,e20051397201021118904d81
30,1,178,11287565,e20051397201021118904d81
40,1,146,5519885,e20051397201021118904d81
50,1,128,10761485,e20051397201021118904d81
60,1,102,16529165,e20051397201021118904d81
70,1,96,11287565,e20051397201021118904d81
80,1,112,5519885,e20051397201021118904d81
90,0,0,0,e20051397201021118904d81
100,0,0,0,e20051397201021118904d81
110,0,0,0,e20051397201021118904d81
120,0,0,0,e20051397201021118904d81
130,0,0,0,e20051397201021118904d81
140,0,0,0,e20051397201021118904d81
150,0,0,0,e20051397201021118904d81
160,0,0,0,e20051397201021118904d81
170,0,0,0,e20051397201021118904d81
180,0,0,0,e20051397201021118904d81
190,0,0,0,e20051397201021118904d81
200,0,0,0,e20051397201021118904d81
10,1,208,11287565,e20051397201021118904d81
20,1,199,5519885,e20051397201021118904d81
30,1,182,10761485,e20051397201021118904d81
40,1,131,16529165,e20051397201021118904d81
50,0,0,0,e20051397201021118904d81
60,1,5,5519885,e20051397201021118904d81
70,0,0,0,e20051397201021118904d81
80,1,96,16529165,e20051397201021118904d81
90,0,0,0,e20051397201021118904d81
100,0,0,0,e20051397201021118904d81
110,0,0,0,e20051397201021118904d81
120,0,0,0,e20051397201021118904d81
130,0,0,0,e20051397201021118904d81
140,0,0,0,e20051397201021118904d81
150,0,0,0,e20051397201021118904d81
160,0,0,0,e20051397201021118904d81
170,0,0,0,e20051397201021118904d81
180,0,0,0,e20051397201021118904d81
190,0,0,0,e20051397201021118904d81
200,0,0,0,e20051397201021118904d81
10,1,220,10761485,e20051397201021118904d81
20,1,188,16529165,e20051397201021118904d81
30,1,168,11287565,e20051397201021118904d81
40,1,150,5519885,e20051397201021118904d81
50,1,117,10761485,e20051397201021118904d81
60,0,0,0,e20051397201021118904d82
70,0,0,0,e20051397201021118904d83
80,1,134,5519885,e20051397201021118904d81
90,1,104,10761485,e20051397201021118904d81
100,0,0,0,e20051397201021118904d81
110,1,96,11287565,e20051397201021118904d81
120,1,99,5519885,e20051397201021118904d81
130,0,0,0,e20051397201021118904d81
140,0,0,0,e20051397201021118904d81
150,0,0,0,e20051397201021118904d81
160,0,0,0,e20051397201021118904d81
170,0,0,0,e20051397201021118904d81
180,0,0,0,e20051397201021118904d81
190,0,0,0,e20051397201021118904d81
200,0,0,0,e20051397201021118904d81
10,1,236,16529165,e20051397201021118904d81
20,1,235,11287565,e20051397201021118904d81
30,1,202,5519885,e20051397201021118904d81
40,1,217,10761485,e20051397201021118904d81
50,1,176,16529165,e20051397201021118904d81
60,1,160,11287565,e20051397201021118904d81
70,1,147,5519885,e20051397201021118904d81
80,1,167,10761485,e20051397201021118904d81
90,1,73,16529165,e20051397201021118904d81
100,1,57,11287565,e20051397201021118904d81
110,1,88,5519885,e20051397201021118904d81
120,1,71,10761485,e20051397201021118904d81
130,1,87,16529165,e20051397201021118904d81
140,1,118,11287565,e20051397201021118904d81
150,0,0,0,e20051397201021118904d81
160,1,85,10761485,e20051397201021118904d81
170,0,0,0,e20051397201021118904d81
180,0,0,0,e20051397201021118904d81
190,0,0,0,e20051397201021118904d81
200,1,80,16529165,e20051397201021118904d81
10,1,221,5519885,e20051397201021118904d81
20,1,220,10761485,e20051397201021118904d81
30,1,203,16529165,e20051397201021118904d81
40,1,183,11287565,e20051397201021118904d81
50,1,160,5519885,e20051397201021118904d81
60,0,0,0,e20051397201021118904d81
70,1,103,16529165,e20051397201021118904d81
80,1,40,11287565,e20051397201021118904d81
90,1,88,5519885,e20051397201021118904d81
100,1,39,10761485,e20051397201021118904d81
110,1,37,16529165,e20051397201021118904d81
120,0,0,0,e20051397201021118904d81
130,0,0,0,e20051397201021118904d81
140,0,0,0,e20051397201021118904d81
150,1,6,16529165,e20051397201021118904d81
160,0,0,0,e20051397201021118904d81
170,1,85,5519885,e20051397201021118904d81
180,1,37,10761485,e20051397201021118904d81
190,0,0,0,e20051397201021118904d81
200,0,0,0,e20051397201021118904d81
10,1,207,10761485,e20051397201021118904d81
20,1,220,16529165,e20051397201021118904d81
30,1,216,11287565,e20051397201021118904d81
