TagNo,Distance,Temperature,RealTemp,RSSI,FREQ,H_RSSI,H_FREQ,ID,Data,Detect
1,10,0,0,234,10761485,ea,a4350d,e20051397201021118904d81,441601eaa4350d0e3000e20051397201021118904d81,1
1,20,0,0,214,16529165,d6,fc370d,e20051397201021118904d81,441601d6fc370d0e3000e20051397201021118904d81,1
1,30,0,0,178,11287565,b2,ac3c0d,e20051397201021118904d81,441601b2ac3c0d0e3000e20051397201021118904d81,1
1,40,0,0,146,5519885,92,543a0d,e20051397201021118904d81,44160192543a0d0e3000e20051397201021118904d81,1
1,50,0,0,128,10761485,80,a4350d,e20051397201021118904d81,44160180a4350d0e3000e20051397201021118904d81,1
1,60,0,0,102,16529165,66,fc370d,e20051397201021118904d81,44160166fc370d0e3000e20051397201021118904d81,1
1,70,0,0,96,11287565,60,ac3c0d,e20051397201021118904d81,44160160ac3c0d0e3000e20051397201021118904d81,1
1,80,0,0,112,5519885,70,543a0d,e20051397201021118904d81,44160170543a0d0e3000e20051397201021118904d81,1
1,90,0,0,0,0,0,0,,4405000000,0
1,100,0,0,0,0,0,0,,4405000000,0
1,110,0,0,0,0,0,0,,4405000000,0
1,120,0,0,0,0,0,0,,4405000000,0
1,130,0,0,0,0,0,0,,4405000000,0
1,140,0,0,0,0,0,0,,4405000000,0
1,150,0,0,0,0,0,0,,4405000000,0
1,160,0,0,0,0,0,0,,4405000000,0
1,170,0,0,0,0,0,0,,4405000000,0
1,180,0,0,0,0,0,0,,4405000000,0
1,190,0,0,0,0,0,0,,4405000000,0
1,200,0,0,0,0,0,0,,4405000000,0
1,10,0,0,208,11287565,d0,ac3c0d,e20051397201021118904d81,441601d0ac3c0d0e3000e20051397201021118904d81,1
1,20,0,0,199,5519885,c7,543a0d,e20051397201021118904d81,441601c7543a0d0e3000e20051397201021118904d81,1
1,30,0,0,182,10761485,b6,a4350d,e20051397201021118904d81,441601b6a4350d0e3000e20051397201021118904d81,1
1,40,0,0,131,16529165,83,fc370d,e20051397201021118904d81,44160183fc370d0e3000e20051397201021118904d81,1
1,50,0,0,0,0,0,0,,4405000000,0
1,60,0,0,5,5519885,05,543a0d,e20051397201021118904d81,44160105543a0d0e3000e20051397201021118904d81,1
1,70,0,0,0,0,0,0,,4405000000,0
1,80,0,0,96,16529165,60,fc370d,e20051397201021118904d81,44160160fc370d0e3000e20051397201021118904d81,1
1,90,0,0,0,0,0,0,,4405000000,0
1,100,0,0,0,0,0,0,,4405000000,0
1,110,0,0,0,0,0,0,,4405000000,0
1,120,0,0,0,0,0,0,,4405000000,0
1,130,0,0,0,0,0,0,,4405000000,0
1,140,0,0,0,0,0,0,,4405000000,0
1,150,0,0,0,0,0,0,,4405000000,0
1,160,0,0,0,0,0,0,,4405000000,0
1,170,0,0,0,0,0,0,,4405000000,0
1,180,0,0,0,0,0,0,,4405000000,0
1,190,0,0,0,0,0,0,,4405000000,0
1,200,0,0,0,0,0,0,,4405000000,0
1,10,0,0,220,10761485,dc,a4350d,e20051397201021118904d81,441601dca4350d0e3000e20051397201021118904d81,1
1,20,0,0,188,16529165,bc,fc370d,e20051397201021118904d81,441601bcfc370d0e3000e20051397201021118904d81,1
1,30,0,0,168,11287565,a8,ac3c0d,e20051397201021118904d81,441601a8ac3c0d0e3000e20051397201021118904d81,1
1,40,0,0,150,5519885,96,543a0d,e20051397201021118904d81,44160196543a0d0e3000e20051397201021118904d81,1
1,50,0,0,117,10761485,75,a4350d,e20051397201021118904d81,44160175a4350d0e3000e20051397201021118904d81,1
1,60,0,0,0,0,0,0,,4405000000,0
1,70,0,0,0,0,0,0,,4405000000,0
1,80,0,0,134,5519885,86,543a0d,e20051397201021118904d81,44160186543a0d0e3000e20051397201021118904d81,1
1,90,0,0,104,10761485,68,a4350d,e20051397201021118904d81,44160168a4350d0e3000e20051397201021118904d81,1
1,100,0,0,0,0,0,0,,4405000000,0
1,110,0,0,96,11287565,60,ac3c0d,e20051397201021118904d81,44160160ac3c0d0e3000e20051397201021118904d81,1
1,120,0,0,99,5519885,63,543a0d,e20051397201021118904d81,44160163543a0d0e3000e20051397201021118904d81,1
1,130,0,0,0,0,0,0,,4405000000,0
1,140,0,0,0,0,0,0,,4405000000,0
1,150,0,0,0,0,0,0,,4405000000,0
1,160,0,0,0,0,0,0,,4405000000,0
1,170,0,0,0,0,0,0,,4405000000,0
1,180,0,0,0,0,0,0,,4405000000,0
1,190,0,0,0,0,0,0,,4405000000,0
1,200,0,0,0,0,0,0,,4405000000,0
1,10,0,0,236,16529165,ec,fc370d,e20051397201021118904d81,441601ecfc370d0e3000e20051397201021118904d81,1
1,20,0,0,235,11287565,eb,ac3c0d,e20051397201021118904d81,441601ebac3c0d0e3000e20051397201021118904d81,1
