TagNo,Distance,Temperature,RealTemp,RSSI,FREQ,H_RSSI,H_FREQ,ID,Data,Detect
1,10,33,33.7,238,16529165,ee,fc370d,e20051397201021118904d81,441601eefc370d0e3000e20051397201021118904d81,1
1,10,33,33.7,237,11287565,ed,ac3c0d,e20051397201021118904d81,441601edac3c0d0e3000e20051397201021118904d81,1
1,10,33,33.7,236,5519885,ec,543a0d,e20051397201021118904d81,441601ec543a0d0e3000e20051397201021118904d81,1
1,10,33,33.7,237,10761485,ed,a4350d,e20051397201021118904d81,441601eda4350d0e3000e20051397201021118904d81,1
1,10,33,33.7,252,16529165,fc,fc370d,e20051397201021118904d81,441601fcfc370d0e3000e20051397201021118904d81,1
1,20,33,33.7,227,11287565,e3,ac3c0d,e20051397201021118904d81,441601e3ac3c0d0e3000e20051397201021118904d81,1
1,20,33,33.7,225,5519885,e1,543a0d,e20051397201021118904d81,441601e1543a0d0e3000e20051397201021118904d81,1
1,20,33,33.7,234,10761485,ea,a4350d,e20051397201021118904d81,441601eaa4350d0e3000e20051397201021118904d81,1
1,20,33,33.7,227,16529165,e3,fc370d,e20051397201021118904d81,441601e3fc370d0e3000e20051397201021118904d81,1
1,20,33,33.7,232,11287565,e8,ac3c0d,e20051397201021118904d81,441601e8ac3c0d0e3000e20051397201021118904d81,1
1,30,33,33.7,217,5519885,d9,543a0d,e20051397201021118904d81,441601d9543a0d0e3000e20051397201021118904d81,1
1,30,33,33.7,212,10761485,d4,a4350d,e20051397201021118904d81,441601d4a4350d0e3000e20051397201021118904d81,1
1,30,33,33.7,212,16529165,d4,fc370d,e20051397201021118904d81,441601d4fc370d0e3000e20051397201021118904d81,1
1,30,33,33.7,224,11287565,e0,ac3c0d,e20051397201021118904d81,441601e0ac3c0d0e3000e20051397201021118904d81,1
1,30,33,33.7,213,5519885,d5,543a0d,e20051397201021118904d81,441601d5543a0d0e3000e20051397201021118904d81,1
1,40,33,33.7,170,10761485,aa,a4350d,e20051397201021118904d81,441601aaa4350d0e3000e20051397201021118904d81,1
1,40,33,33.7,186,16529165,ba,fc370d,e20051397201021118904d81,441601bafc370d0e3000e20051397201021118904d81,1
1,40,33,33.7,185,11287565,b9,ac3c0d,e20051397201021118904d81,441601b9ac3c0d0e3000e20051397201021118904d81,1
1,40,33,33.7,139,5519885,8b,543a0d,e20051397201021118904d81,4416018b543a0d0e3000e20051397201021118904d81,1
1,40,33,33.7,186,10761485,ba,a4350d,e20051397201021118904d81,441601baa4350d0e3000e20051397201021118904d81,1
1,50,33,33.7,153,16529165,99,fc370d,e20051397201021118904d81,44160199fc370d0e3000e20051397201021118904d81,1
1,50,33,33.7,153,11287565,99,ac3c0d,e20051397201021118904d81,44160199ac3c0d0e3000e20051397201021118904d81,1
1,50,33,33.7,122,5519885,7a,543a0d,e20051397201021118904d81,4416017a543a0d0e3000e20051397201021118904d81,1
1,50,33,33.7,153,10761485,99,a4350d,e20051397201021118904d81,44160199a4350d0e3000e20051397201021118904d81,1
1,50,33,33.7,122,16529165,7a,fc370d,e20051397201021118904d81,4416017afc370d0e3000e20051397201021118904d81,1
1,60,33,33.7,105,11287565,69,ac3c0d,e20051397201021118904d81,44160169ac3c0d0e3000e20051397201021118904d81,1
1,60,33,33.7,121,5519885,79,543a0d,e20051397201021118904d81,44160179543a0d0e3000e20051397201021118904d81,1
1,60,33,33.7,0,0,0,0,,4405000000,0
1,60,33,33.7,73,16529165,49,fc370d,e20051397201021118904d81,44160149fc370d0e3000e20051397201021118904d81,1
1,60,33,33.7,89,11287565,59,ac3c0d,e20051397201021118904d81,44160159ac3c0d0e3000e20051397201021118904d81,1
1,70,33,33.7,119,5519885,77,543a0d,e20051397201021118904d81,44160177543a0d0e3000e20051397201021118904d81,1
1,70,33,33.7,89,10761485,59,a4350d,e20051397201021118904d81,44160159a4350d0e3000e20051397201021118904d81,1
1,70,33,33.7,24,16529165,18,fc370d,e20051397201021118904d81,44160118fc370d0e3000e20051397201021118904d81,1
1,70,33,33.7,0,0,0,0,,4405000000,0
