DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,CYCLE,N,READ_RATE
10,1,234,10761485,e20051397201021118904d81,1,1,1.000
20,1,214,16529165,e20051397201021118904d81,1,1,1.000
30,1,178,11287565,e20051397201021118904d81,1,1,1.000
40,1,146,5519885,e20051397201021118904d81,1,1,1.000
50,1,128,10761485,e20051397201021118904d81,1,1,1.000
60,1,102,16529165,e20051397201021118904d81,1,1,1.000
70,1,96,11287565,e20051397201021118904d81,1,1,1.000
80,1,112,5519885,e20051397201021118904d81,1,1,1.000
90,0,0,0,e20051397201021118904d81,5,1,0.000
100,0,0,0,e20051397201021118904d81,5,1,0.000
110,0,0,0,e20051397201021118904d81,5,1,0.000
120,0,0,0,e20051397201021118904d81,5,1,0.000
130,0,0,0,e20051397201021118904d81,5,1,0.000
140,0,0,0,e20051397201021118904d81,5,1,0.000
150,0,0,0,e20051397201021118904d81,5,1,0.000
160,0,0,0,e20051397201021118904d81,5,1,0.000
170,0,0,0,e20051397201021118904d81,5,1,0.000
180,0,0,0,e20051397201021118904d81,5,1,0.000
190,0,0,0,e20051397201021118904d81,5,1,0.000
200,0,0,0,e20051397201021118904d81,5,1,0.000
10,1,208,11287565,e20051397201021118904d81,1,2,1.000
20,1,199,5519885,e20051397201021118904d81,1,2,1.000
30,1,182,10761485,e20051397201021118904d81,1,2,1.000
40,1,131,16529165,e20051397201021118904d81,1,2,1.000
50,0,0,0,e20051397201021118904d81,5,2,0.000
60,1,5,5519885,e20051397201021118904d81,1,2,1.000
70,0,0,0,e20051397201021118904d81,5,2,0.000
80,1,96,16529165,e20051397201021118904d81,2,2,0.500
90,0,0,0,e20051397201021118904d81,5,2,0.000
100,0,0,0,e20051397201021118904d81,5,2,0.000
110,0,0,0,e20051397201021118904d81,5,2,0.000
120,0,0,0,e20051397201021118904d81,5,2,0.000
130,0,0,0,e20051397201021118904d81,5,2,0.000
140,0,0,0,e20051397201021118904d81,5,2,0.000
150,0,0,0,e20051397201021118904d81,5,2,0.000
