Data,QI,Frequency,ID
441601eafc370d0e3000e20051397201021218904d7d,ea,fc370d,e20051397201021218904d7d
441601d8ac3c0d0e3000e20051397201021218904d7d,d8,ac3c0d,e20051397201021218904d7d
441601c8543a0d0e3000e20051397201021218904d7d,c8,543a0d,e20051397201021218904d7d
4416019aa4350d0e3000e20051397201021218904d7d,9a,a4350d,e20051397201021218904d7d
4416019afc370d0e3000e20051397201021218904d7d,9a,fc370d,e20051397201021218904d7d
44160178ac3c0d0e3000e20051397201021218904d7d,78,ac3c0d,e20051397201021218904d7d
44160137543a0d0e3000e20051397201021218904d7d,37,543a0d,e20051397201021218904d7d
44160175a4350d0e3000e20051397201021218904d7d,75,a4350d,e20051397201021218904d7d
44160172fc370d0e3000e20051397201021218904d7d,72,fc370d,e20051397201021218904d7d
4405000000,,,
4405000000,,,
44160126a4350d0e3000e20051397201021218904d7d,26,a4350d,e20051397201021218904d7d
4405000000,,,
4405000000,,,
44160150543a0d0e3000e20051397201021218904d7d,50,543a0d,e20051397201021218904d7d
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
441601eda4350d0e3000e20051397201021218904d7d,ed,a4350d,e20051397201021218904d7d
441601ddfc370d0e3000e20051397201021218904d7d,dd,fc370d,e20051397201021218904d7d
441601cbac3c0d0e3000e20051397201021218904d7d,cb,ac3c0d,e20051397201021218904d7d
4416016d543a0d0e3000e20051397201021218904d7d,6d,543a0d,e20051397201021218904d7d
4416012ca4350d0e3000e20051397201021218904d7d,2c,a4350d,e20051397201021218904d7d
441601a8fc370d0e3000e20051397201021218904d7d,a8,fc370d,e20051397201021218904d7d
44160187ac3c0d0e3000e20051397201021218904d7d,87,ac3c0d,e20051397201021218904d7d
44160187543a0d0e3000e20051397201021218904d7d,87,543a0d,e20051397201021218904d7d
44160173a4350d0e3000e20051397201021218904d7d,73,a4350d,e20051397201021218904d7d
4405000000,,,
44160146ac3c0d0e3000e20051397201021218904d7d,46,ac3c0d,e20051397201021218904d7d
44160107543a0d0e3000e20051397201021218904d7d,07,543a0d,e20051397201021218904d7d
44160126a4350d0e3000e20051397201021218904d7d,26,a4350d,e20051397201021218904d7d
44160146fc370d0e3000e20051397201021218904d7d,46,fc370d,e20051397201021218904d7d
4405000000,,,
44160145543a0d0e3000e20051397201021218904d7d,45,543a0d,e20051397201021218904d7d
4405000000,,,
44160106fc370d0e3000e20051397201021218904d7d,06,fc370d,e20051397201021218904d7d
4405000000,,,
4405000000,,,
441601ec543a0d0e3000e20051397201021218904d7d,ec,543a0d,e20051397201021218904d7d
441601cca4350d0e3000e20051397201021218904d7d,cc,a4350d,e20051397201021218904d7d
441601acfc370d0e3000e20051397201021218904d7d,ac,fc370d,e20051397201021218904d7d
4416011bac3c0d0e3000e20051397201021218904d7d,1b,ac3c0d,e20051397201021218904d7d
441601a6543a0d0e3000e20051397201021218904d7d,a6,543a0d,e20051397201021218904d7d
441601a7a4350d0e3000e20051397201021218904d7d,a7,a4350d,e20051397201021218904d7d
44160196fc370d0e3000e20051397201021218904d7d,96,fc370d,e20051397201021218904d7d
44160182ac3c0d0e3000e20051397201021218904d7d,82,ac3c0d,e20051397201021218904d7d
44160175543a0d0e3000e20051397201021218904d7d,75,543a0d,e20051397201021218904d7d
44160167a4350d0e3000e20051397201021218904d7d,67,a4350d,e20051397201021218904d7d
44160108fc370d0e3000e20051397201021218904d7d,08,fc370d,e20051397201021218904d7d
44160147ac3c0d0e3000e20051397201021218904d7d,47,ac3c0d,e20051397201021218904d7d
44160154543a0d0e3000e20051397201021218904d7d,54,543a0d,e20051397201021218904d7d
44160160a4350d0e3000e20051397201021218904d7d,60,a4350d,e20051397201021218904d7d
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
441601be543a0d0e3000e20051397201021218904d7d,be,543a0d,e20051397201021218904d7d
441601cca4350d0e3000e20051397201021218904d7d,cc,a4350d,e20051397201021218904d7d
441601bbfc370d0e3000e20051397201021218904d7d,bb,fc370d,e20051397201021218904d7d
4416016bac3c0d0e3000e20051397201021218904d7d,6b,ac3c0d,e20051397201021218904d7d
4416012a543a0d0e3000e20051397201021218904d7d,2a,543a0d,e20051397201021218904d7d
441601a0a4350d0e3000e20051397201021218904d7d,a0,a4350d,e20051397201021218904d7d
44160198fc370d0e3000e20051397201021218904d7d,98,fc370d,e20051397201021218904d7d
44160167ac3c0d0e3000e20051397201021218904d7d,67,ac3c0d,e20051397201021218904d7d
44160157543a0d0e3000e20051397201021218904d7d,57,543a0d,e20051397201021218904d7d
44160156a4350d0e3000e20051397201021218904d7d,56,a4350d,e20051397201021218904d7d
44160146fc370d0e3000e20051397201021218904d7d,46,fc370d,e20051397201021218904d7d
44160150ac3c0d0e3000e20051397201021218904d7d,50,ac3c0d,e20051397201021218904d7d
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4416012ffc370d0e3000e20051397201021218904d7d,2f,fc370d,e20051397201021218904d7d
441601aeac3c0d0e3000e20051397201021218904d7d,ae,ac3c0d,e20051397201021218904d7d
4416019e543a0d0e3000e20051397201021218904d7d,9e,543a0d,e20051397201021218904d7d
441601bda4350d0e3000e20051397201021218904d7d,bd,a4350d,e20051397201021218904d7d
441601bcfc370d0e3000e20051397201021218904d7d,bc,fc370d,e20051397201021218904d7d
441601c2ac3c0d0e3000e20051397201021218904d7d,c2,ac3c0d,e20051397201021218904d7d
441601b7543a0d0e3000e20051397201021218904d7d,b7,543a0d,e20051397201021218904d7d
44160198a4350d0e3000e20051397201021218904d7d,98,a4350d,e20051397201021218904d7d
4416016afc370d0e3000e20051397201021218904d7d,6a,fc370d,e20051397201021218904d7d
44160178ac3c0d0e3000e20051397201021218904d7d,78,ac3c0d,e20051397201021218904d7d
44160174543a0d0e3000e20051397201021218904d7d,74,543a0d,e20051397201021218904d7d
44160182a4350d0e3000e20051397201021218904d7d,82,a4350d,e20051397201021218904d7d
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4416014ea4350d0e3000e20051397201021218904d7d,4e,a4350d,e20051397201021218904d7d
441601ddfc370d0e3000e20051397201021218904d7d,dd,fc370d,e20051397201021218904d7d
441601ccac3c0d0e3000e20051397201021218904d7d,cc,ac3c0d,e20051397201021218904d7d
4416019c543a0d0e3000e20051397201021218904d7d,9c,543a0d,e20051397201021218904d7d
4416018ba4350d0e3000e20051397201021218904d7d,8b,a4350d,e20051397201021218904d7d
4416014bfc370d0e3000e20051397201021218904d7d,4b,fc370d,e20051397201021218904d7d
441601a3ac3c0d0e3000e20051397201021218904d7d,a3,ac3c0d,e20051397201021218904d7d
44160195543a0d0e3000e20051397201021218904d7d,95,543a0d,e20051397201021218904d7d
44160195a4350d0e3000e20051397201021218904d7d,95,a4350d,e20051397201021218904d7d
44160176fc370d0e3000e20051397201021218904d7d,76,fc370d,e20051397201021218904d7d
44160166ac3c0d0e3000e20051397201021218904d7d,66,ac3c0d,e20051397201021218904d7d
4405000000,,,
4405000000,,,
44160153fc370d0e3000e20051397201021218904d7d,53,fc370d,e20051397201021218904d7d
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
441601ad543a0d0e3000e20051397201021218904d7d,ad,543a0d,e20051397201021218904d7d
4416015ca4350d0e3000e20051397201021218904d7d,5c,a4350d,e20051397201021218904d7d
4416019afc370d0e3000e20051397201021218904d7d,9a,fc370d,e20051397201021218904d7d
44160186ac3c0d0e3000e20051397201021218904d7d,86,ac3c0d,e20051397201021218904d7d
44160173543a0d0e3000e20051397201021218904d7d,73,543a0d,e20051397201021218904d7d
44160168a4350d0e3000e20051397201021218904d7d,68,a4350d,e20051397201021218904d7d
44160148fc370d0e3000e20051397201021218904d7d,48,fc370d,e20051397201021218904d7d
44160178ac3c0d0e3000e20051397201021218904d7d,78,ac3c0d,e20051397201021218904d7d
44160156543a0d0e3000e20051397201021218904d7d,56,543a0d,e20051397201021218904d7d
44160108a4350d0e3000e20051397201021218904d7d,08,a4350d,e20051397201021218904d7d
44160137fc370d0e3000e20051397201021218904d7d,37,fc370d,e20051397201021218904d7d
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4416017dac3c0d0e3000e20051397201021218904d7d,7d,ac3c0d,e20051397201021218904d7d
4405000000,,,
4416018ba4350d0e3000e20051397201021218904d7d,8b,a4350d,e20051397201021218904d7d
4416010bfc370d0e3000e20051397201021218904d7d,0b,fc370d,e20051397201021218904d7d
4416019aac3c0d0e3000e20051397201021218904d7d,9a,ac3c0d,e20051397201021218904d7d
44160159543a0d0e3000e20051397201021218904d7d,59,543a0d,e20051397201021218904d7d
44160167a4350d0e3000e20051397201021218904d7d,67,a4350d,e20051397201021218904d7d
44160170fc370d0e3000e20051397201021218904d7d,70,fc370d,e20051397201021218904d7d
44160155ac3c0d0e3000e20051397201021218904d7d,55,ac3c0d,e20051397201021218904d7d
44160127543a0d0e3000e20051397201021218904d7d,27,543a0d,e20051397201021218904d7d
44160164a4350d0e3000e20051397201021218904d7d,64,a4350d,e20051397201021218904d7d
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
441601f3ac3c0d0e3000e20051397201021218904d7d,f3,ac3c0d,e20051397201021218904d7d
441601e8543a0d0e3000e20051397201021218904d7d,e8,543a0d,e20051397201021218904d7d
441601daa4350d0e3000e20051397201021218904d7d,da,a4350d,e20051397201021218904d7d
441601aafc370d0e3000e20051397201021218904d7d,aa,fc370d,e20051397201021218904d7d
4416019aac3c0d0e3000e20051397201021218904d7d,9a,ac3c0d,e20051397201021218904d7d
4416010b543a0d0e3000e20051397201021218904d7d,0b,543a0d,e20051397201021218904d7d
44160170a4350d0e3000e20051397201021218904d7d,70,a4350d,e20051397201021218904d7d
44160191fc370d0e3000e20051397201021218904d7d,91,fc370d,e20051397201021218904d7d
44160194ac3c0d0e3000e20051397201021218904d7d,94,ac3c0d,e20051397201021218904d7d
44160164543a0d0e3000e20051397201021218904d7d,64,543a0d,e20051397201021218904d7d
44160163a4350d0e3000e20051397201021218904d7d,63,a4350d,e20051397201021218904d7d
44160146fc370d0e3000e20051397201021218904d7d,46,fc370d,e20051397201021218904d7d
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
