RSSI Dec,Frequency
234,a4350d
214,fc370d
178,ac3c0d
146,543a0d
128,a4350d
102,fc370d
96,ac3c0d
112,543a0d
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
208,ac3c0d
199,543a0d
182,a4350d
131,fc370d
0,
5,543a0d
0,
96,fc370d
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
220,a4350d
188,fc370d
168,ac3c0d
150,543a0d
117,a4350d
0,
0,
134,543a0d
104,a4350d
0,
96,ac3c0d
99,543a0d
0,
0,
0,
0,
0,
0,
0,
0,
236,fc370d
235,ac3c0d
202,543a0d
217,a4350d
176,fc370d
160,ac3c0d
147,543a0d
167,a4350d
73,fc370d
57,ac3c0d
88,543a0d
71,a4350d
87,fc370d
118,ac3c0d
0,
85,a4350d
0,
0,
0,
80,fc370d
221,543a0d
220,a4350d
203,fc370d
183,ac3c0d
160,543a0d
0,
103,fc370d
40,ac3c0d
88,543a0d
39,a4350d
37,fc370d
0,
0,
0,
6,fc370d
0,
85,543a0d
37,a4350d
0,
0,
207,a4350d
220,fc370d
216,ac3c0d
201,543a0d
181,a4350d
165,fc370d
103,ac3c0d
0,
54,a4350d
112,fc370d
96,ac3c0d
80,543a0d
81,a4350d
0,
0,
0,
0,
0,
0,
0,
222,a4350d
219,fc370d
215,ac3c0d
197,543a0d
120,a4350d
57,fc370d
24,ac3c0d
57,543a0d
116,a4350d
101,fc370d
82,ac3c0d
21,543a0d
0,
0,
0,
0,
0,
0,
0,
0,
190,fc370d
221,ac3c0d
187,543a0d
170,a4350d
164,fc370d
135,ac3c0d
119,543a0d
119,a4350d
39,fc370d
37,ac3c0d
112,543a0d
0,
0,
0,
0,
0,
0,
0,
0,
0,
237,543a0d
236,a4350d
220,fc370d
183,ac3c0d
152,543a0d
167,a4350d
10,fc370d
105,ac3c0d
73,543a0d
103,a4350d
102,fc370d
97,ac3c0d
0,
0,
54,fc370d
53,ac3c0d
0,
0,
0,
0,
237,fc370d
220,ac3c0d
198,543a0d
177,a4350d
136,fc370d
135,ac3c0d
88,543a0d
23,a4350d
70,fc370d
96,ac3c0d
96,543a0d
83,a4350d
0,
54,ac3c0d
0,
0,
0,
0,
0,
0,
236,543a0d
234,a4350d
218,fc370d
184,ac3c0d
0,
105,a4350d
120,fc370d
72,ac3c0d
102,543a0d
0,
83,fc370d
0,
0,
5,a4350d
0,
64,ac3c0d
0,
0,
0,
0,
191,a4350d
222,fc370d
203,ac3c0d
201,543a0d
176,a4350d
148,fc370d
89,ac3c0d
0,
0,
119,fc370d
0,
80,543a0d
0,
21,fc370d
5,ac3c0d
0,
0,
0,
0,
0,
253,fc370d
235,ac3c0d
218,543a0d
193,a4350d
167,fc370d
151,ac3c0d
57,543a0d
23,a4350d
